data,idVotacao,idProposicao
2021-06-15,2276475-70,2286962
2021-06-15,2276475-70,2286964
2021-06-15,2276475-70,2287593
2021-06-15,2279750-42,2284992
2021-06-15,2279750-42,2286602
2021-06-15,2279750-42,2286835
2021-06-15,2279750-42,2286894
2021-06-15,2279750-42,2286895
2021-06-15,2279750-42,2286906
2021-06-15,2279750-42,2287451
2021-06-15,2165157-38,2285164
2021-06-15,2191944-32,2212513
2021-06-15,2191944-32,2212514
2021-06-15,2191944-32,2280016
2021-06-15,2191944-32,2280024
2021-06-15,2191944-32,2280025
2021-06-15,2191944-32,2280026
2021-06-15,2191944-32,2283289
2021-06-15,2191944-32,2283320
2021-06-15,2191944-32,2283321
2021-06-15,2191944-32,2283322
2021-06-15,2191949-33,2221190
2021-06-15,2191949-33,2284640
2021-06-15,2214060-22,2286556
2021-06-15,2216656-27,2286251
2021-06-15,2221141-35,2286250
2021-06-15,2244912-32,2280541
2021-06-15,2244912-32,2280557
2021-06-15,2244912-32,2285188
2021-06-15,2244912-32,2285189
2021-06-15,2258887-24,2283207
2021-06-15,2258887-24,2283209
2021-06-15,2266844-22,2280688
2021-06-15,2266844-22,2280689
2021-06-15,2266844-22,2280690
2021-06-15,2266844-22,2286248
2021-06-15,2267241-25,2283210
2021-06-15,2267241-25,2283211
2021-06-15,2273945-24,2285474
2021-06-15,2285145-2,2285145
